Card ID           Card Name             Expansion   Collection No.       Link


  1             Basic {G} Energy          SVE             1          View Image
  2             Basic {R} Energy          SVE             2          View Image
  3            Basic {W} Energy           SVE             3          View Image
  4             Basic {L} Energy          SVE             4          View Image
  5             Basic {P} Energy          SVE             5          View Image
  6             Basic {F} Energy          SVE             6          View Image
  7             Basic {D} Energy          SVE             7          View Image
  8             Basic {M} Energy          SVE             8          View Image
  9            Boomerang Energy           TWM            166         View Image
  10           Neo Upper Energy           TEF            162         View Image
  11              Mist Energy             TEF            161         View Image
  12             Legacy Energy            TWM            167         View Image
  13            Enriching Energy          SSP            191         View Image
  14             Spiky Energy             JTG            159         View Image
  15         Team Rocket's Energy         DRI            182         View Image
  16             Prism Energy             BLK            86          View Image
  17             Ignition Energy          WHT            86          View Image
  18          Grow Grass Energy           POR            86          View Image
  19        Telepath Psychic Energy       POR            88          View Image
  20          Rock Fighting Energy        POR            87          View Image
  21                 Scrafty             PROMO           188         View Image
  22              Hippopotas              DRI            105         View Image
  23              Hippowdon               DRI            106         View Image
  24      Team Rocket's Kangaskhan ex     ASC            162         View Image
  25                 Pinsir               TWM             3          View Image
  26                Leafeon               TWM            11          View Image
  27              Iron Leaves             TWM            19          View Image
  28              Poltchageist            TWM            20          View Image
  29              Sinistcha ex            TWM            23          View Image
  30              Magcargo ex             TWM            29          View Image
  31                 Chi-Yu               TWM            39          View Image
  32                Glaceon               TWM            54          View Image
  33                Froakie               TWM            56          View Image
Card ID        Card Name          Expansion   Collection No.       Link


  34            Frogadier           TWM            57          View Image
  35          Walking Wake          TWM            63          View Image
  36            Morpeko             TWM            72          View Image
  37          Iron Thorns ex        TWM            77          View Image
  38            Girafarig           TWM            83          View Image
  39            Enamorus            TWM            93          View Image
  40           Greninja ex          TWM            106         View Image
  41             Ting-Lu            TWM            110         View Image
  42              Applin            TWM            126         View Image
  43             Eevee              TWM            135         View Image
  44      Bloodmoon Ursaluna ex     TWM            141         View Image
  45            Shaymin             TEF            13          View Image
  46         Gouging Fire ex        TEF            38          View Image
  47             Totodile           TEF            39          View Image
  48            Croconaw            TEF            40          View Image
  49            Feraligatr          TEF            41          View Image
  50             Wiglett            TEF            47          View Image
  51             Palafin            TEF            49          View Image
  52           Wugtrio ex           TEF            60          View Image
  53              Marill            TEF            64          View Image
  54             Bronzor            TEF            68          View Image
  55            Bronzong            TEF            69          View Image
  56          Flutter Mane          TEF            78          View Image
  57            Relicanth           TEF            84          View Image
  58           Great Tusk           TEF            97          View Image
  59             Gastly             TEF            102         View Image
  60             Haunter            TEF            103         View Image
  61          Roaring Moon          TEF            109         View Image
  62            Koraidon            TEF            119         View Image
  63          Raging Bolt ex        TEF            123         View Image
  64            Hoothoot            TEF            126         View Image
  65           Dunsparce            TEF            128         View Image
  66          Dudunsparce           TEF            129         View Image
Card ID           Card Name             Expansion   Collection No.       Link


  67                Pineco                TEF             2          View Image
  68                Seedot                TEF             3          View Image
  69                Nuzleaf               TEF             4          View Image
  70                Shiftry               TEF             5          View Image
  71               Deerling               TEF            16          View Image
  72              Sawsbuck                TEF            17          View Image
  73                Rellor                TEF            23          View Image
  74                Rabsca                TEF            24          View Image
